Team,Player,First Name,Last Name,Age,Pos,F,D,G,C,RW,LW,RD,LD,CH 20-21,CH 21-22,CH 22-23,CH 23-24,CH 24-25,CH 25-26,CH 26-27,CH Total,CH Avg,Cap%,NMC,Expiry,UFA Expiry,RFA Expiry,27/54,Game Req,Must Protect,Under Contract 21/22,UFA,Meets Exposure,Overall,OPS,DPS,PS,GP,GAOPS,GADPS,GAPS,CH 21-22_scaled,CH Total_scaled,CH Avg_scaled,OPS_scaled,DPS_scaled,PS_scaled,GAOPS_scaled,GADPS_scaled,GAPS_scaled,Overall_scaled,CH 20-21_standard,CH 21-22_standard,CH 22-23_standard,CH 23-24_standard,CH 24-25_standard,CH 25-26_standard,CH 26-27_standard,CH Avg_standard,Overall_standard,PS_standard,GAPS_standard
ANA,Cam Fowler,Cam,Fowler,29,LD,0,1,0,0,0,0,0,1,6.5,6.5,6.5,6.5,6.5,6.5,0.0,32.5,6.5,8.0,False,UFA (2026),2026.0,0.0,1,1,No,1,0,1,83.0,1.5,2.7,4.2,56.0,1.5,2.7,4.2,6.5,22.173862156153422,6.5,6.120226036299626,11.3825259012515,7.308579964755344,5.359890185061255,9.22191905121682,5.534472950753151,3.7058551854750856,11.66713835674322,11.077000617613114,10.585326102675197,10.130715898107619,9.80251724814587,9.728880214704745,0.0,11.077000617613114,10.65544376315367,10.938989855444273,10.463535205226142
ANA,Hampus Lindholm,Hampus,Lindholm,27,LD,0,1,0,0,0,0,0,1,5.206,5.206,0.0,0.0,0.0,0.0,0.0,5.206,5.206,6.4,False,UFA (2022),2022.0,0.0,1,1,No,1,0,1,85.0,0.4,0.9,1.3,18.0,1.2,2.8,4.0,5.205556,3.551608652004227,5.205556,1.632060276346567,3.7941753004171663,2.262179512900464,4.446723709087856,9.563471608669294,5.329492471095627,3.8126082155093473,11.12999598274914,10.59886581841359,0.0,0.0,0.0,0.0,0.0,10.59886581841359,11.084294072813673,9.591543149906903,10.393429323199037
ANA,Josh Manson,Josh,Manson,29,RD,0,1,0,0,0,0,1,0,4.1,4.1,0.0,0.0,0.0,0.0,0.0,4.1,4.1,5.0,False,UFA (2022),2022.0,0.0,1,1,No,1,0,1,81.0,0.3,0.8,1.1,23.0,0.7,1.9,2.7,4.1,2.79731799508397,4.1,1.2240452072599253,3.3726002670374813,1.9141518955311616,2.610033481421133,6.6528498147264665,3.5292291280165027,3.633191358308907,10.67089284083457,10.190197280612448,0.0,0.0,0.0,0.0,0.0,10.190197280612448,10.226593453493669,9.498615790904324,9.937741090022843
ANA,Kevin Shattenkirk,Kevin,Shattenkirk,32,RD,0,1,0,0,0,0,1,0,3.9,3.9,3.9,0.0,0.0,0.0,0.0,7.8,3.9,4.8,False,UFA (2023),2023.0,0.0,1,1,No,1,0,1,83.0,0.4,2.2,2.6,55.0,0.4,2.2,2.6,3.9,5.321726917476821,3.9,1.632060276346567,9.274650734353074,4.524359025800927,1.45529139570148,7.650777286935434,3.4883950719898644,3.722899786909127,10.587872381175515,10.116297002529059,9.611892058993226,0.0,0.0,0.0,0.0,10.116297002529059,10.65544376315367,10.195570983423655,9.90268814900929
ANA,Haydn Fleury,Haydn,Fleury,25,LD/RD,0,1,0,0,0,0,1,1,1.3,1.3,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.6,False,RFA (2022),0.0,2022.0,1,1,No,1,0,1,81.0,-0.1,0.7,0.6,47.0,-0.1,0.8,0.7,1.3,0.8869544862461369,1.3,-0.4080150690866417,2.951025233657796,1.0440828521079062,-0.4257501423594756,2.848693670667449,0.942037949064366,3.614352588302861,9.50860640560781,9.155593387445004,0.0,0.0,0.0,0.0,0.0,9.155593387445004,10.226593453493669,9.266297393397881,9.236682269751778
ANA,Jacob Larsson,Jacob,Larsson,24,LD,0,1,0,0,0,0,0,1,1.2,1.2,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.5,False,RFA (2022),0.0,2022.0,1,1,No,1,0,1,75.0,-0.1,1.3,1.1,46.0,-0.1,1.6,1.3,1.2,0.818727218073357,1.2,-0.4080150690866417,5.480475433935907,1.9141518955311616,-0.4350055802368556,5.405440474465254,1.7646145640082511,3.364066072508247,9.467096175778284,9.11864324840331,0.0,0.0,0.0,0.0,0.0,9.11864324840331,8.940042524513661,9.498615790904324,9.446999915833098
ANA,Brendan Guhle,Brendan,Guhle,23,LD,0,1,0,0,0,0,0,1,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,False,RFA (2022),0.0,2022.0,24 GR,0,No,1,0,0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.545818145382238,0.8,0.0,0.0,0.0,0.0,0.0,0.0,3.522849991130637,9.301055256460176,8.970842692236532,0.0,0.0,0.0,0.0,0.0,8.970842692236532,9.797743143833666,0.0,0.0
ANA,Andy Welinski,Andy,Welinski,28,RD,0,1,0,0,0,0,1,0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,UFA (2021),2021.0,0.0,14 GR,0,No,0,1,0,0.0,-0.2,0.8,0.6,13.0,-0.9,3.4,2.6,0.0,0.0,0.0,-0.8160301381732835,3.3726002670374813,1.0440828521079062,-3.078501029368516,11.770426595285286,3.405829508155785,0.0,9.280300141545412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.266297393397881,9.90268814900929
ANA,Josh Mahura,Josh,Mahura,23,LD,0,1,0,0,0,0,0,1,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,RFA (2021),0.0,2021.0,14 GR,0,No,0,0,0,0.0,0.3,0.5,0.8,13.0,1.3,2.2,3.4,0.0,0.0,0.0,1.2240452072599253,2.1078751668984257,1.3921104694772084,4.617751544052774,7.356516622053303,4.541106010874381,0.0,9.278224630053936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35922475240046,10.183111677117717
ANA,Trevor Carrick,Trevor,Carrick,27,LD,0,1,0,0,0,0,0,1,0.7,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.9,False,UFA (2022),2022.0,0.0,27 GR,0,No,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5117045112958482,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.259545026630649,8.952367622715686,0.0,0.0,0.0,0.0,0.0,8.952367622715686,0.0,0.0,0.0
