Team,Age,PS,GAPS,Overall,CH 20-21,CH 21-22,CH Avg
ANA,27.393939393939394,33.4,52.59999999999999,79.04347826086956,76.44900000000003,53.12000000000001,53.12000000000001
ARI,26.83783783783784,51.4,76.29999999999998,79.69565217391305,82.158,49.408,49.408
BOS,27.10810810810811,69.39999999999999,89.70000000000002,81.84,85.424,56.63,56.63
BUF,26.9,32.699999999999996,62.0,78.76190476190476,70.38300000000002,46.25,46.25
CAR,26.53125,71.5,103.50000000000001,81.52631578947368,81.17600000000003,52.71,52.71
CBJ,26.714285714285715,34.0,42.999999999999986,79.88235294117646,59.723000000000006,51.196,51.196
CGY,27.655172413793103,50.199999999999996,58.199999999999996,79.8695652173913,79.50900000000003,66.375,66.375
CHI,26.708333333333332,35.699999999999996,50.599999999999994,78.72222222222223,61.046,49.15,49.15
COL,27.02857142857143,82.89999999999999,106.50000000000003,81.22727272727273,85.00699999999999,53.625,53.625
DAL,28.548387096774192,51.800000000000004,68.5,81.14285714285714,81.857,64.575,64.575
DET,27.972972972972972,43.0,67.30000000000001,77.52173913043478,71.35000000000001,30.883000000000003,30.883000000000003
EDM,28.0,74.19999999999999,89.89999999999998,79.44444444444444,91.31800000000003,65.53999999999999,65.53999999999999
FLA,26.852941176470587,72.6,96.99999999999999,79.89473684210526,76.75900000000001,61.766999999999996,61.766999999999996
LAK,26.322580645161292,45.9,61.00000000000001,78.1,65.764,59.47399999999999,59.47399999999999
MIN,27.65625,57.1,70.3,80.76470588235294,70.434,50.49200000000001,50.49200000000001
MTL,28.205882352941178,53.1,69.60000000000001,80.68,86.818,65.22,65.22
NJD,25.666666666666668,36.599999999999994,52.4,78.94736842105263,61.63600000000001,45.767,45.767
NSH,27.03125,51.7,73.4,80.27272727272727,77.06799999999998,56.907,56.907
NYI,28.88888888888889,63.599999999999994,74.6,80.20833333333333,93.60600000000001,71.94999999999999,71.94999999999999
NYR,26.535714285714285,46.6,58.7,78.84210526315789,65.828,53.129000000000005,53.129000000000005
OTT,26.424242424242426,35.199999999999996,46.60000000000001,77.6086956521739,68.16900000000001,42.824999999999996,42.824999999999996
PHI,26.8125,39.99999999999999,47.300000000000004,80.84210526315789,80.129,66.276,66.276
PIT,27.939393939393938,73.70000000000002,98.2,80.54166666666667,83.70200000000001,76.776,76.776
SJS,27.615384615384617,36.599999999999994,42.89999999999998,79.41176470588235,80.12100000000002,71.5,71.5
STL,27.2972972972973,60.499999999999986,75.89999999999998,80.41666666666667,90.19900000000001,65.288,65.288
TBL,27.325,73.09999999999997,87.79999999999998,83.0,103.42600000000002,85.818,85.818
TOR,28.65625,74.2,96.6,80.44444444444444,90.842,69.88,69.88
VAN,27.0,37.0,56.400000000000006,78.65217391304348,83.20899999999997,56.958,56.958
WAS,29.38235294117647,70.0,86.30000000000001,80.52173913043478,91.882,77.58399999999999,77.58399999999999
WPJ,27.242424242424242,67.9,83.60000000000001,80.0,84.47800000000001,57.73500000000001,57.73500000000001
